x y z reading
8 -8 32 460.97
8 0 32 461.02
8 8 32 460.89
8 16 32 460.92
16 -16 32 460.88
16 -8 32 460.89
16 0 32 460.93
16 8 32 460.87
16 16 32 460.83
24 0 32 460.85
0 0 40 460.82
