x y z
23 3 6
23 7 6
23 11 6
23 15 6
27 -9 6
27 -5 6
27 -1 6
27 3 6
27 7 6
27 11 6
-28 -4 10
-28 0 10
-28 4 10
-24 -12 10
-24 -8 10
-24 -4 10
-24 0 10
-24 4 10
-24 8 10
-24 12 10
-20 -20 10
-20 -16 10
-20 -12 10
-20 -8 10
-20 -4 10
-20 0 10
-20 4 10
-20 8 10
-20 12 10
-20 16 10
-20 20 10
-16 -20 10
-16 -16 10
-16 -12 10
-16 -8 10
-16 -4 10
-16 0 10
-16 4 10
-16 8 10
-16 12 10
-16 16 10
-16 20 10
-12 -24 10
-12 -20 10
-12 -16 10
-12 -12 10
-12 -8 10
-12 -4 10
-12 0 10
-12 4 10
-12 8 10
-12 12 10
-12 16 10
-12 20 10
-12 24 10
-8 -24 10
-8 -20 10
-8 -16 10
-8 -12 10
-8 -8 10
-8 -4 10
-8 0 10
-8 4 10
-8 8 10
-8 12 10
-8 16 10
-8 20 10
-8 24 10
-4 -28 10
-4 -24 10
-4 -20 10
-4 -16 10
-4 -12 10
-4 -8 10
-4 -4 10
-4 0 10
-4 4 10
-4 8 10
-4 12 10
-4 16 10
-4 20 10
-4 24 10
-4 28 10
0 -28 10
0 -24 10
0 -20 10
0 -16 10
0 -12 10
0 -8 10
0 -4 10
0 0 10
0 4 10
0 8 10
0 12 10
0 16 10
0 20 10
0 24 10
0 28 10
4 -28 10
4 -24 10
4 -20 10
4 -16 10
4 -12 10
4 -8 10
4 -4 10
4 0 10
4 4 10
4 8 10
4 12 10
4 16 10
4 20 10
4 24 10
4 28 10
8 -24 10
8 -20 10
8 -16 10
8 -12 10
8 -8 10
8 -4 10
8 0 10
8 4 10
8 8 10
8 12 10
8 16 10
8 20 10
8 24 10
12 -24 10
12 -20 10
12 -16 10
12 -12 10
12 -8 10
12 -4 10
12 0 10
12 4 10
12 8 10
12 12 10
12 16 10
12 20 10
12 24 10
16 -20 10
16 -16 10
16 -12 10
16 -8 10
16 -4 10
16 0 10
16 4 10
16 8 10
16 12 10
16 16 10
16 20 10
20 -20 10
20 -16 10
20 -12 10
20 -8 10
20 -4 10
20 0 10
20 4 10
20 8 10
20 12 10
20 16 10
20 20 10
24 -12 10
24 -8 10
24 -4 10
24 0 10
24 4 10
24 8 10
24 12 10
28 -4 10
28 0 10
28 4 10
-26 -2 14
-26 2 14
-22 -14 14
-22 -10 14
-22 -6 14
-22 -2 14
-22 2 14
-22 6 14
-22 10 14
-22 14 14
-18 -18 14
-18 -14 14
-18 -10 14
-18 -6 14
-18 -2 14
-18 2 14
-18 6 14
-18 10 14
-18 14 14
-18 18 14
-14 -22 14
-14 -18 14
-14 -14 14
-14 -10 14
-14 -6 14
-14 -2 14
-14 2 14
-14 6 14
-14 10 14
-14 14 14
-14 18 14
-14 22 14
-10 -22 14
-10 -18 14
-10 -14 14
-10 -10 14
-10 -6 14
-10 -2 14
-10 2 14
-10 6 14
-10 10 14
-10 14 14
-10 18 14
-10 22 14
-6 -22 14
-6 -18 14
-6 -14 14
-6 -10 14
-6 -6 14
-6 -2 14
-6 2 14
-6 6 14
-6 10 14
-6 14 14
-6 18 14
-6 22 14
-2 -26 14
-2 -22 14
-2 -18 14
-2 -14 14
-2 -10 14
-2 -6 14
-2 -2 14
-2 2 14
-2 6 14
-2 10 14
-2 14 14
-2 18 14
-2 22 14
-2 26 14
2 -26 14
2 -22 14
2 -18 14
2 -14 14
2 -10 14
2 -6 14
2 -2 14
2 2 14
2 6 14
2 10 14
2 14 14
2 18 14
2 22 14
2 26 14
6 -22 14
6 -18 14
6 -14 14
6 -10 14
6 -6 14
6 -2 14
6 2 14
6 6 14
6 10 14
6 14 14
6 18 14
6 22 14
10 -22 14
10 -18 14
10 -14 14
10 -10 14
10 -6 14
10 -2 14
10 2 14
10 6 14
10 10 14
10 14 14
10 18 14
10 22 14
14 -22 14
14 -18 14
14 -14 14
14 -10 14
14 -6 14
14 -2 14
14 2 14
14 6 14
14 10 14
14 14 14
14 18 14
14 22 14
18 -18 14
18 -14 14
18 -10 14
18 -6 14
18 -2 14
18 2 14
18 6 14
18 10 14
18 14 14
18 18 14
22 -14 14
22 -10 14
22 -6 14
22 -2 14
22 2 14
22 6 14
22 10 14
22 14 14
26 -2 14
26 2 14
-24 0 18
-20 -12 18
-20 -8 18
